,index,title,stops,ratingValue,ratingCount,reviewCount,могилёвская,первомайская,площадь победы,площадь якуба коласа,грушевка,восток,автозаводская,московская,партизанская,спортивная,пушкинская,немига,петровщина,михалово,борисовский тракт,малиновка,каменная горка,вокзальная,институт культуры,академия наук,тракторный завод,парк челюскинцев,юбилейная площадь,фрунзенская,молодёжная,площадь ленина,октябрьская,площадь франтишка богушевича,уручье,кунцевщина,купаловская,пролетарская,ковальская слобода,concert hall,sportcenter,fallback services,fast food,cafe,supermarket,bars,hotels,sushi,gasstation,spa,museum,currency exchange,mobile phones,malls,confectionary,restaurants,fallback fun,industrial enterprise,fitness,software,flower shop,hypermarket,wednesday,sunday,friday,tuesday,monday,thursday,saturday,num_compet,center,instagram,facebook,viber,ok,twitter,youtube,telegram,whatsapp,vkontakte,lat,lon
0,0,Додо Пицца,260.463,4.099999904632568,379,95,11347.690293473806,2210.9292452774584,3838.4240487738093,4509.8390688728305,6710.28413306484,10550.67934469077,8289.358794058711,8168.062432857449,6415.347818103279,10911.578618765674,9355.430588183273,3919.1773406713705,9820.402129759277,8475.530655627053,12232.888164139513,11025.85069595659,15319.703042329096,3298.5610956940154,3863.684689599811,5617.639975865849,5045.932990745056,7027.4159955594805,4843.272661920912,4813.740798584107,6404.495646184636,3573.7199260180414,3263.6631782676454,4484.034740076302,14536.778540571018,13727.430677695666,3263.1814575798617,2268.8386355874823,2600.808665552384,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,12,12,12,12,12,3,3265.376260408691,1,1,0,0,0,1,0,0,1,27.572799,53.871594
1,1,Додо Пицца,78.9872,4.099999904632568,379,112,14693.604566545122,2634.7284093490953,3350.89856270235,4044.3307858928215,4058.5982327987117,11772.22483135108,11584.039601981152,9142.863020911738,9633.797675517972,7505.072840556601,5789.223086703277,796.0725289148693,7942.079485081044,6188.543860567263,13570.573321866807,9525.878299329213,12122.580556856761,1309.4343666225095,1941.860393047122,5862.352510904968,7662.222321423967,7793.43719439567,778.1208317407219,721.9088827934993,2644.86642656183,791.2037882594583,1412.2936852585833,1122.9254169442816,15957.334624468955,10497.530718326108,1429.282403156004,4421.268750993354,2530.46482056024,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,12,12,12,12,12,4,1587.7013098457326,1,1,0,0,0,1,0,0,1,27.547575,53.902772
2,2,Додо Пицца,126.716,4.099999904632568,745,210,20395.16766895894,8344.792301982678,8980.549207647753,9554.333911450578,3027.714376347445,17233.30277870166,17283.53669377489,14620.392063794714,15334.933821241957,1781.7991864219566,34.98643010469032,6478.714851184447,4659.425247894341,3232.562011030766,19025.122842252415,6281.1046768363185,6413.994712735181,6077.802252971753,5473.3989482954685,11340.284539400223,13412.127508396105,13277.596551554132,4986.431742885816,5051.562115462735,3109.6070253795547,5964.108782725052,7166.159959267645,4950.727038070733,21393.67341807787,4797.3443033872145,7182.882350150544,10136.779326783608,6792.263306612196,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,12,12,12,12,12,1,7336.789428251287,1,1,0,0,0,1,0,0,1,27.496272,53.909917
3,3,Дом папочки,70.8959,4.0,238,91,17619.674296183137,5693.794747050043,6682.559989542035,7374.256369742775,875.3501264735193,15105.793486389415,14515.870148183387,12476.40083241486,12578.456323510172,4503.802793221843,2993.4733795156176,4128.319465393935,4753.3099889462055,2936.9656229903558,16904.104148615774,6418.087649848331,8991.900295870111,3264.821714224022,2545.0154958233143,9193.70721317624,10768.214653935445,11126.802663061717,2696.947181985775,2771.408180525944,1333.2178743530574,3278.2865743241746,4681.713971756893,2290.3404527501284,19290.894759489594,7377.503261423352,4700.500700790304,7450.372969012112,3845.7019931242685,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,12,12,12,12,12,12,0,4873.320868111365,0,0,1,0,0,0,0,0,0,27.518703,53.893809
4,4,Поющий центр,162.885,4.400000095367432,76,19,13262.20357742857,1352.564482939422,1877.5104047947168,2627.062321509537,5504.648672875745,10298.879372220084,10160.394293732163,7674.087712508109,8214.729896328929,9015.521246700231,7291.608761871231,790.5369258234956,9329.342856981597,7618.973830787401,12094.738065003634,10863.285250722054,13637.561993166995,2026.5556191568148,2964.1926281053643,4420.206632020286,6187.2494195650015,6329.960081050281,2271.3880122571113,2205.472768664116,4151.235300643716,1683.8144797431185,219.36646137571708,2547.7978608385542,14481.739567819139,12012.653962799688,203.94443083417764,3031.608542732359,2862.8024036695224,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,10,10,10,10,10,10,8,128.7256890256456,1,0,0,1,0,0,0,0,1,27.561204,53.90338
5,5,Твоё кафе,260.018,4.099999904632568,56,26,4766.78128524461,7298.507749009107,7182.086616722593,7029.266578702752,13315.396752546743,6181.166701042645,1658.7464435833213,5314.7269974726005,308.30274112536745,17335.34623485297,15668.37827890799,9289.553743010843,16542.32105633763,15177.617634758466,7265.569343803822,17705.24956197519,21873.74150612468,9617.908660242143,10401.112725689398,6067.813233751995,2458.852454349068,5364.044523518679,10704.97472767917,10647.86266787671,12542.684764016956,9672.940675468568,8545.285662877499,10689.767925302056,9125.61483909894,20258.960673166235,8530.874997688574,5506.440647499782,9261.478238677519,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,2,8400.030301554683,1,0,0,0,0,0,0,0,0,27.633145,53.874453
6,6,Богема,151.733,4.199999809265137,140,39,12994.796426278052,2202.3786194434733,1131.2276798043522,1531.2961558142877,6685.523384023127,9239.547737121347,9948.95435708723,6613.736859567218,8050.426436883376,9807.437791217166,8059.269127990373,1860.6820444207062,10579.128590685503,8817.415447577841,11037.618491746225,12160.610823781884,14438.833450227274,3461.2402425411515,4369.302315347145,3321.7641897804015,5878.800011550549,5264.67429216611,3232.5866477643103,3158.2831849395793,5017.990337819992,3058.0231426540786,1685.32987269048,3758.9227339347385,13418.709635862304,12823.126996188446,1669.3587132594232,3245.949378406818,4323.401336505114,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,9,9,9,9,9,9,3,1525.3734720371117,1,0,0,0,0,0,0,0,0,27.568168,53.915989
7,7,Burger King,81.9081,4.199999809265137,614,160,14081.129097855026,2187.966870116416,3551.7570778306167,4340.659771143386,4070.287429116025,11862.047346303094,10973.263114975076,9260.596274256635,9031.513163118694,8008.830174093704,6374.731685607543,1566.7997836015911,7733.5700221336965,6106.081928574349,13645.680647404075,9206.167298088867,12543.343746870074,304.4651010156859,1254.081147546612,6079.567616207032,7224.321546143435,7936.694920469112,1807.1173734997674,1792.0677968703283,3333.868035024924,525.232656135062,1557.337804275064,1409.8262802552626,16026.865155926145,10926.290893501595,1575.3524870393164,3904.0203948861545,1271.1123686630783,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,15,15,15,15,15,15,0,1742.9415896018247,1,1,0,0,0,0,0,0,1,27.550458,53.890146
8,8,Burger King,262.657,3.299999952316284,45,14,14654.344872815696,2645.49261878742,3751.973391464402,4505.183455423987,3661.8190558794636,12156.700540761289,11543.302587471098,9537.322729815203,9596.261697651003,7440.60084461502,5778.035988476809,1385.8264694118204,7452.391105047601,5757.230855731643,13949.413870521144,8985.861811134677,12009.301495798501,561.1145705461969,1180.4215837847435,6296.966469827851,7728.209214944058,8197.64215136794,1150.3541713501422,1143.5155599310335,2694.2067305112996,226.44960381119654,1699.2779936066752,793.591183643889,16335.411482128226,10387.547691261956,1718.6802809044893,4419.156564695863,1789.0768697904814,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,12,12,12,12,12,0,1897.2090733159064,1,1,0,0,0,0,0,0,1,27.546107,53.894869
9,9,Burger King,261.203,4.0,144,50,11446.818379694347,2232.8984691970904,3886.784506291834,4568.030546437233,6618.231513256288,10654.408617330022,8390.931425242501,8267.305292080415,6519.459954384973,10826.599547031186,9276.094294890272,3896.6217440087653,9715.578310803918,8375.498099335806,12338.219308635573,10918.494334615083,15227.734018190415,3231.7959511192294,3779.78217241529,5699.1512843823575,5154.355059936449,7122.087277368492,4792.626062203255,4764.469870397371,6336.512399229213,3518.5406670687953,3253.019641200447,4418.329871179294,14643.19646451696,13636.789776848393,3253.180936626416,2361.009048054787,2508.777108973423,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,14,14,14,14,14,14,2,3261.300828845542,1,1,0,0,0,0,0,0,1,27.571877,53.871239
10,10,Пицца Domino's Pizza,206.097,4.099999904632568,391,110,14325.552377625727,2327.6058714696287,2830.575024708743,3503.703336754205,4609.130985845641,11239.45165245884,11221.521467025641,8609.391380234963,9274.166957810734,7963.289226657037,6233.350829509583,280.1506882996565,8497.179817550088,6740.146603000784,13038.351072268393,10081.655816942557,12590.863534114218,1662.076165653877,2425.3561510954014,5323.429392362467,7255.657065243118,7258.916344373172,1225.8021120027208,1155.9825656145242,3100.376768317894,1154.867636300308,1022.6422206986791,1678.638574066747,15424.52616888712,10966.627063847829,1035.7067557293753,4075.58772186714,2814.227715137539,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,12,12,12,12,12,3,1163.4761843180067,1,1,0,0,0,0,0,0,1,27.551832,53.905716
11,11,Пицца Domino's Pizza,69.8047,4.199999809265137,372,88,14083.817611453987,2804.1547772324398,4449.392332838991,5253.883194592085,3949.560358792492,12513.553416927198,11005.050342595929,9957.586635958156,9098.833167066332,8167.294165012258,6653.851768142601,2748.030643109493,7243.008866698826,5777.441451384884,14273.915206116573,8592.223991056704,12558.556904907698,1111.4636104375898,1155.759448382164,6896.411843255262,7495.829044366984,8669.686738334973,2768.1478298877337,2775.684089732003,3875.8076053206023,1628.390825676496,2620.0771932862995,2093.1075161631497,16638.530635708823,10966.068741854606,2635.617704878954,4245.714720039439,173.5106360856464,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,12,12,12,12,12,0,2781.5961166614525,1,1,0,0,0,0,0,0,1,27.548714,53.878295
12,12,Пицца Domino's Pizza,172.571,4.099999904632568,60,19,8631.111134735609,3621.05484503929,4186.321805767236,4435.891690945917,9391.812967163987,8227.550422633229,5539.855163625698,6137.586158419091,3633.703941088623,13479.199629706525,11848.143253042703,5694.959245256459,12612.937682190583,11235.974414614568,9799.732404205814,13814.741363028143,17976.056213968328,5745.790949883115,6484.80920441677,4566.5318981632545,2419.203012762494,5276.596507537359,6992.80883545148,6943.7667599359675,8764.467809404834,5860.771110743009,4934.002972301856,6865.6781565031615,12022.87725098957,16367.96449771236,4923.1726105696625,1987.8039792011937,5321.052834718756,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,13,13,13,13,13,13,0,4827.056028181481,0,0,0,0,0,0,0,0,0,27.597737,53.874856
13,13,Fabriq,108.386,4.400000095367432,162,67,14240.269080161808,2236.3371875003263,2772.0570576433333,3455.7362593552716,4648.747921643725,11187.432489408626,11135.617827730264,8557.644927992693,9187.89281370199,8035.322649730375,6307.506616625018,210.85032962934775,8529.678885612437,6778.571067439814,12986.097024321194,10107.994303617077,12661.344102388526,1624.2097055498705,2412.7216756444827,5274.550204149664,7173.92079950319,7207.654962418054,1293.2009695287957,1224.8123414737063,3171.2871544960835,1125.8459280599438,934.1297648713023,1706.7828638566384,15372.597390784187,11036.858924618482,947.6126985758083,3987.378830798234,2759.1977037300285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,12,12,12,14,14,6,1079.4326869665952,1,0,0,0,0,0,0,0,0,27.55246,53.905095
14,14,Cafe35,113.414,4.300000190734863,133,57,12708.670960091164,1874.2773698625538,3676.1237017073054,4458.80985833379,5315.428027776145,11331.55051017942,9627.265593642984,8825.927412792507,7720.461135678484,9486.882373121762,7924.917330602273,2850.8985925871666,8587.467409732599,7152.955367852252,13069.24313426069,9887.461494732292,13919.011696522066,1893.638684863174,2439.406747783666,5923.6908378239295,6150.382827639013,7581.9431140456845,3516.404969604902,3496.1830916251024,4990.712475099696,2229.3555381254123,2362.74330626071,3079.7932235302405,15417.082156944285,12320.57384019676,2369.9220273369933,2968.3263609527135,1235.203614126961,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,12,12,12,12,12,12,0,2443.330865439352,1,0,0,0,0,0,0,0,0,27.561079,53.87754
