,index,title,stops,ratingValue,ratingCount,reviewCount,михалово,молодёжная,тракторный завод,петровщина,октябрьская,автозаводская,площадь якуба коласа,немига,спортивная,площадь франтишка богушевича,площадь ленина,ковальская слобода,вокзальная,площадь победы,юбилейная площадь,кунцевщина,пушкинская,грушевка,могилёвская,малиновка,московская,парк челюскинцев,каменная горка,фрунзенская,борисовский тракт,восток,купаловская,пролетарская,первомайская,институт культуры,академия наук,уручье,партизанская,fallback fun,hotels,bars,gasstation,hypermarket,concert hall,industrial enterprise,cafe,fast food,software,flower shop,spa,mobile phones,fitness,confectionary,supermarket,fallback services,sushi,sportcenter,currency exchange,malls,restaurants,museum,wednesday,sunday,friday,tuesday,monday,thursday,saturday,num_compet,center,youtube,instagram,twitter,ok,whatsapp,vkontakte,facebook,viber,telegram,lat,lon
0,0,Додо Пицца,260.463,4.099999904632568,379,95,8475.530655627053,6404.495646184636,5045.932990745056,9820.402129759277,3263.6631782676454,8289.358794058711,4509.8390688728305,3919.1773406713705,10911.578618765674,4484.034740076302,3573.7199260180414,2600.808665552384,3298.5610956940154,3838.4240487738093,4843.272661920912,13727.430677695666,9355.430588183273,6710.28413306484,11347.690293473806,11025.85069595659,8168.062432857449,7027.4159955594805,15319.703042329096,4813.740798584107,12232.888164139513,10550.67934469077,3263.1814575798617,2268.8386355874823,2210.9292452774584,3863.684689599811,5617.639975865849,14536.778540571018,6415.347818103279,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12,12,12,12,12,12,3,3265.376260408691,1,1,0,0,0,1,1,0,0,27.572799,53.871594
1,1,Додо Пицца,78.9872,4.099999904632568,379,112,6188.543860567263,2644.86642656183,7662.222321423967,7942.079485081044,1412.2936852585833,11584.039601981152,4044.3307858928215,796.0725289148693,7505.072840556601,1122.9254169442816,791.2037882594583,2530.46482056024,1309.4343666225095,3350.89856270235,778.1208317407219,10497.530718326108,5789.223086703277,4058.5982327987117,14693.604566545122,9525.878299329213,9142.863020911738,7793.43719439567,12122.580556856761,721.9088827934993,13570.573321866807,11772.22483135108,1429.282403156004,4421.268750993354,2634.7284093490953,1941.860393047122,5862.352510904968,15957.334624468955,9633.797675517972,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12,12,12,12,12,12,4,1587.7013098457326,1,1,0,0,0,1,1,0,0,27.547575,53.902772
2,2,Додо Пицца,126.716,4.099999904632568,745,210,3232.562011030766,3109.6070253795547,13412.127508396105,4659.425247894341,7166.159959267645,17283.53669377489,9554.333911450578,6478.714851184447,1781.7991864219566,4950.727038070733,5964.108782725052,6792.263306612196,6077.802252971753,8980.549207647753,4986.431742885816,4797.3443033872145,34.98643010469032,3027.714376347445,20395.16766895894,6281.1046768363185,14620.392063794714,13277.596551554132,6413.994712735181,5051.562115462735,19025.122842252415,17233.30277870166,7182.882350150544,10136.779326783608,8344.792301982678,5473.3989482954685,11340.284539400223,21393.67341807787,15334.933821241957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,12,12,12,12,12,12,1,7336.789428251287,1,1,0,0,0,1,1,0,0,27.496272,53.909917
3,3,Дом папочки,70.8959,4.0,238,91,2936.9656229903558,1333.2178743530574,10768.214653935445,4753.3099889462055,4681.713971756893,14515.870148183387,7374.256369742775,4128.319465393935,4503.802793221843,2290.3404527501284,3278.2865743241746,3845.7019931242685,3264.821714224022,6682.559989542035,2696.947181985775,7377.503261423352,2993.4733795156176,875.3501264735193,17619.674296183137,6418.087649848331,12476.40083241486,11126.802663061717,8991.900295870111,2771.408180525944,16904.104148615774,15105.793486389415,4700.500700790304,7450.372969012112,5693.794747050043,2545.0154958233143,9193.70721317624,19290.894759489594,12578.456323510172,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12,12,12,12,12,12,12,0,4873.320868111365,0,0,0,0,0,0,0,1,0,27.518703,53.893809
4,4,Поющий центр,162.885,4.400000095367432,76,19,7618.973830787401,4151.235300643716,6187.2494195650015,9329.342856981597,219.36646137571708,10160.394293732163,2627.062321509537,790.5369258234956,9015.521246700231,2547.7978608385542,1683.8144797431185,2862.8024036695224,2026.5556191568148,1877.5104047947168,2271.3880122571113,12012.653962799688,7291.608761871231,5504.648672875745,13262.20357742857,10863.285250722054,7674.087712508109,6329.960081050281,13637.561993166995,2205.472768664116,12094.738065003634,10298.879372220084,203.94443083417764,3031.608542732359,1352.564482939422,2964.1926281053643,4420.206632020286,14481.739567819139,8214.729896328929,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,10,10,10,10,10,8,128.7256890256456,0,1,0,1,0,1,0,0,0,27.561204,53.90338
5,5,Твоё кафе,260.018,4.099999904632568,56,26,15177.617634758466,12542.684764016956,2458.852454349068,16542.32105633763,8545.285662877499,1658.7464435833213,7029.266578702752,9289.553743010843,17335.34623485297,10689.767925302056,9672.940675468568,9261.478238677519,9617.908660242143,7182.086616722593,10704.97472767917,20258.960673166235,15668.37827890799,13315.396752546743,4766.78128524461,17705.24956197519,5314.7269974726005,5364.044523518679,21873.74150612468,10647.86266787671,7265.569343803822,6181.166701042645,8530.874997688574,5506.440647499782,7298.507749009107,10401.112725689398,6067.813233751995,9125.61483909894,308.30274112536745,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,2,8400.030301554683,0,1,0,0,0,0,0,0,0,27.633145,53.874453
6,6,Богема,151.733,4.199999809265137,140,39,8817.415447577841,5017.990337819992,5878.800011550549,10579.128590685503,1685.32987269048,9948.95435708723,1531.2961558142877,1860.6820444207062,9807.437791217166,3758.9227339347385,3058.0231426540786,4323.401336505114,3461.2402425411515,1131.2276798043522,3232.5866477643103,12823.126996188446,8059.269127990373,6685.523384023127,12994.796426278052,12160.610823781884,6613.736859567218,5264.67429216611,14438.833450227274,3158.2831849395793,11037.618491746225,9239.547737121347,1669.3587132594232,3245.949378406818,2202.3786194434733,4369.302315347145,3321.7641897804015,13418.709635862304,8050.426436883376,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9,9,9,9,9,9,3,1525.3734720371117,0,1,0,0,0,0,0,0,0,27.568168,53.915989
7,7,Burger King,81.9081,4.199999809265137,614,160,6106.081928574349,3333.868035024924,7224.321546143435,7733.5700221336965,1557.337804275064,10973.263114975076,4340.659771143386,1566.7997836015911,8008.830174093704,1409.8262802552626,525.232656135062,1271.1123686630783,304.4651010156859,3551.7570778306167,1807.1173734997674,10926.290893501595,6374.731685607543,4070.287429116025,14081.129097855026,9206.167298088867,9260.596274256635,7936.694920469112,12543.343746870074,1792.0677968703283,13645.680647404075,11862.047346303094,1575.3524870393164,3904.0203948861545,2187.966870116416,1254.081147546612,6079.567616207032,16026.865155926145,9031.513163118694,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,15,15,15,15,15,15,15,0,1742.9415896018247,0,1,0,0,0,1,1,0,0,27.550458,53.890146
8,8,Burger King,262.657,3.299999952316284,45,14,5757.230855731643,2694.2067305112996,7728.209214944058,7452.391105047601,1699.2779936066752,11543.302587471098,4505.183455423987,1385.8264694118204,7440.60084461502,793.591183643889,226.44960381119654,1789.0768697904814,561.1145705461969,3751.973391464402,1150.3541713501422,10387.547691261956,5778.035988476809,3661.8190558794636,14654.344872815696,8985.861811134677,9537.322729815203,8197.64215136794,12009.301495798501,1143.5155599310335,13949.413870521144,12156.700540761289,1718.6802809044893,4419.156564695863,2645.49261878742,1180.4215837847435,6296.966469827851,16335.411482128226,9596.261697651003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,12,12,12,12,12,12,0,1897.2090733159064,0,1,0,0,0,1,1,0,0,27.546107,53.894869
9,9,Burger King,261.203,4.0,144,50,8375.498099335806,6336.512399229213,5154.355059936449,9715.578310803918,3253.019641200447,8390.931425242501,4568.030546437233,3896.6217440087653,10826.599547031186,4418.329871179294,3518.5406670687953,2508.777108973423,3231.7959511192294,3886.784506291834,4792.626062203255,13636.789776848393,9276.094294890272,6618.231513256288,11446.818379694347,10918.494334615083,8267.305292080415,7122.087277368492,15227.734018190415,4764.469870397371,12338.219308635573,10654.408617330022,3253.180936626416,2361.009048054787,2232.8984691970904,3779.78217241529,5699.1512843823575,14643.19646451696,6519.459954384973,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14,14,14,14,14,14,14,2,3261.300828845542,0,1,0,0,0,1,1,0,0,27.571877,53.871239
