,title,name
0,Чехов,chehov.cafe
1,Yummy Coffee to Go,yummy.coffee
2,Добры кут,dobrykut
3,Панский Драник,pansky_dranik
4,Раковский Бровар,rakovskij_brovar
5,Пипл'с,taler_beer
6,Паб 1067,pub1067
7,Кафе Гнездо,gnezdo.minsk
8,Morella,morella_restaurant
9,Хинкальня,hinkalnyaminsk
10,KFC,kfcbyofficial
11,L'angolo Italiano,langolo.italiano
12,Пинса Романа,pinsa.romana.by
13,Cimes,cimes.minsk
14,Beans&Leaves cafe,beansleaves
15,Ember,ember_minsk
16,Васильки,restoran.vasilki
17,Fabriq,fabriq_minsk
18,Бамбук,bamboo_minsk
19,Barcarola,barcarolaminsk
20,Поющий центр,centr_karaoke
21,Burger King,burgerkingbelarus
22,Burger King,burgerkingbelarus
23,Чижовка-Арена,chizhovka__arena
24,Burger King,burgerkingbelarus
25,Burger King,burgerkingbelarus
26,Додо Пицца,dodopizza.minsk
27,Додо Пицца,dodopizza.minsk
28,Пицца Domino's Pizza,dominosby
29,Виталюр,vitalur_by
30,Хит!,pizzahit.by
31,Макдональдс,mcdonalds_belarus
32,Твоё кафе,tvoyo_cafe
33,Appetito.by,djvu_catering
34,Пон-пушка,pon_pushka
35,Шоколад,restoran_club_shocolad
36,Балук,cafebaluk.by
37,Пышки,puff8bel
38,Miss Pirozhenka,miss_pirozhenka
39,Терра pizza,terrapizza
40,Вкус Жизни,vkus_coffeeshop
41,Coffee Print,_coffeeprint_
42,Каравай,minskhleb_by
43,ElPatron Minsk,1wilz4v4dxlu6
44,Salty Dog,saltydog.underground
45,Донер ФУД,food_doner
46,Smartgrill,smartgrill.by
47,ПиццаМания Токио,pizzamaniaby
48,Кофе профиль,coffeeprofil
49,MC Doner point,mcdoner.by
50,ХотDонер,hotdoner_minsk
51,Cofix,cofix_belarus
52,Лондон,pizzamaniaby
53,Сатурн,saturnclubminsk
54,Prime Cafe,primecafeminsk
55,20 50,2050coffee
56,Кофеёк,kofe_ek
57,Первый Пивной Паб,1pivnoi_pab.minsk
58,Mon nom,monnombar
59,SteFan,relaxby
60,Yummy Coffee to Go,yummy.coffee
61,Мясоруб Минск,edatut.by
62,Борщ,fan_ezha
63,Просуши,prosushi.by
64,Кофейня,1yemz4cohnro
65,Grill kebab,grillkebab_minsk
66,Спортклуб Волат,volat_club_belarus
67,CoffeeBro,coffeebro_minsk
68,Yummy Coffee to Go,yummy.coffee
